time,location
1364407095,in[sudikoff],
1364407553,in[sudikoff],
1364408295,in[sudikoff],
1364411164,in[sudikoff],
1364416688,in[sudikoff],
1364417451,in[sudikoff],
1364417467,in[sudikoff],
1364417483,in[sudikoff],
1364417493,in[sudikoff],
1364417582,in[sudikoff],
1364417667,in[sudikoff],
1364417727,near[north-main; ropeferry; moore; ],
1364417785,in[north-main],
1364417801,near[burke; college-street; steele; ],
1364417812,near[college-street; steele; ],
1364417825,near[steele; college-street; wentworth; ],
1364417853,near[baker-berry; wentworth; blunt_alumni_center; ],
1364417874,near[baker-berry; robinson; blunt_alumni_center; ],
1364417887,near[robinson; baker-berry; ],
1364417943,in[east-wheelock],
1364417959,in[east-wheelock],
1364417975,near[east-wheelock; robinson; hopkins; ],
1364418000,in[north-main],
1364418046,in[north-main],
1364418089,in[north-main],
1364485745,in[north-main],
1364485761,in[north-main],
1364485827,in[north-main],
1364485842,in[hanoverpsych],
1364485858,near[hanoverpsych; HanoverInn; ],
1364485874,in[HanoverInn],
1364485889,near[HanoverInn; hanoverpsych; hopkins; ],
1364485905,near[HanoverInn; thornton; reed; ],
1364485923,near[HanoverInn; thornton; reed; ],
1364485939,in[baker-berry],
1364485954,near[college-street; steele; baker-berry; ],
1364485978,in[dana-library],
1364485994,near[lsb; dana-library; ],
1364486009,near[lsb; dana-library; ],
1364486024,near[lsb; dana-library; ],
1364486040,in[lsb],
1364486133,in[mclaughlin],
1364486148,near[mclaughlin; vail; ],
1364486161,near[mclaughlin; vail; ],
1364486176,in[mclaughlin],
1364486192,near[lsb; mclaughlin; ],
1364486207,in[lsb],
1364486230,in[lsb],
1364486287,in[lsb],
1364486352,in[lsb],
1364486368,in[lsb],
1364486473,in[lsb],
1364486533,in[lsb],
1364486593,in[lsb],
1364486653,in[lsb],
1364486688,in[lsb],
1364486773,in[lsb],
1364486833,in[lsb],
1364486893,in[lsb],
1364486939,in[lsb],
1364487014,in[lsb],
1364487074,in[lsb],
1364487134,in[lsb],
1364487194,in[lsb],
1364487254,in[lsb],
1364487314,in[lsb],
1364487338,in[lsb],
1364487434,in[lsb],
1364487487,in[lsb],
1364487555,in[lsb],
1364487615,in[lsb],
1364487663,in[lsb],
1364487735,in[lsb],
1364487795,in[lsb],
1364487855,in[lsb],
1364487915,in[lsb],
1364487975,in[lsb],
1364487988,in[lsb],
1364488035,in[lsb],
1364488096,in[lsb],
1364488156,in[lsb],
1364488216,in[lsb],
1364488276,in[lsb],
1364488337,in[lsb],
1364488397,in[lsb],
1364488457,in[lsb],
1364488687,in[lsb],
1364488742,in[lsb],
1364489027,in[lsb],
1364489312,in[lsb],
1364489445,in[lsb],
1364489533,in[lsb],
1364489579,in[lsb],
1364489594,near[dana-library; vail; ],
1364489675,near[dana-library; vail; ],
1364489706,in[mclaughlin],
1364489716,in[mclaughlin],
1364489811,near[mclaughlin; burke; sudikoff; ],
1364489826,in[sudikoff],
1364489842,in[sudikoff],
1364489887,in[sudikoff],
1364490126,in[sudikoff],
1364490141,in[sudikoff],
1364490297,in[sudikoff],
1364491070,in[sudikoff],
1364491087,in[sudikoff],
1364491355,in[sudikoff],
1364491640,in[sudikoff],
1364491925,in[sudikoff],
1364492106,in[sudikoff],
1364492210,in[sudikoff],
1364492287,in[sudikoff],
1364492495,in[sudikoff],
1364492777,near[sudikoff; college-street; steele; ],
1364492878,near[steele; college-street; baker-berry; ],
1364492912,in[steele],
1364492977,in[steele],
1364492990,in[steele],
1364499006,in[steele],
1364499123,near[steele; college-street; burke; ],
1364499167,in[college-street],
1364499385,in[sudikoff],
1364499471,in[sudikoff],
1364499481,in[sudikoff],
1364499565,in[sudikoff],
1364499624,in[sudikoff],
1364499636,in[sudikoff],
1364499760,in[sudikoff],
1364499831,in[sudikoff],
1364499841,in[sudikoff],
1364499852,in[sudikoff],
1364500069,in[sudikoff],
1364500103,in[sudikoff],
1364500116,in[sudikoff],
1364500179,in[sudikoff],
1364500195,in[sudikoff],
1364500258,in[sudikoff],
1364500268,in[sudikoff],
1364500322,in[sudikoff],
1364500615,in[sudikoff],
1364500687,in[sudikoff],
1364500717,in[sudikoff],
1364501808,in[sudikoff],
1364501887,in[sudikoff],
1364502659,in[sudikoff],
1364502673,in[sudikoff],
1364502743,in[sudikoff],
1364503028,in[sudikoff],
1364503087,in[sudikoff],
1364503833,in[sudikoff],
1364504287,in[sudikoff],
1364504551,in[sudikoff],
1364505487,in[sudikoff],
1364505716,in[sudikoff],
1364506369,in[sudikoff],
1364506687,in[sudikoff],
1364507887,in[sudikoff],
1364508186,in[sudikoff],
1364509087,in[sudikoff],
1364510018,in[sudikoff],
1364510287,in[sudikoff],
1364511487,in[sudikoff],
1364511824,in[sudikoff],
1364512687,in[sudikoff],
1364513295,near[ropeferry; sudikoff; mclaughlin; ],
1364513320,near[ropeferry; burke; mclaughlin; ],
1364513335,in[mclaughlin],
1364513368,in[mclaughlin],
1364513409,near[mclaughlin; remsen; ropeferry; ],
1364513462,near[kellogg; remsen; dana-library; ],
1364513474,near[kellogg; dewey; ],
1364513489,in[mclaughlin],
1364513517,in[mclaughlin],
1364513723,in[steele],
1364513747,in[baker-berry],
1364513763,in[baker-berry],
1364513778,near[robinson; baker-berry; ],
1364513797,in[robinson],
1364513812,in[robinson],
1364513828,near[robinson; north-main; ],
1364513843,in[north-main],
1364513859,in[north-main],
1364513874,in[north-main],
1364564459,in[north-main],
1364564522,in[north-main],
1364564538,near[HanoverInn; hanoverpsych; baker-berry; ],
1364564574,near[HanoverInn; hanoverpsych; baker-berry; ],
1364564623,near[hopkins; carson-tech_services; HanoverInn; ],
1364564638,near[reed; hopkins; carson-tech_services; ],
1364564663,in[baker-berry],
1364564675,near[steele; baker-berry; ],
1364564737,in[vail],
1364564786,near[dana-library; vail; lsb; ],
1364564804,in[lsb],
1364565023,in[mclaughlin],
1364565073,in[lsb],
1364565101,in[lsb],
1364565185,in[lsb],
1364565200,in[lsb],
1364565487,in[lsb],
1364565793,in[lsb],
1364566078,in[lsb],
1364566363,in[lsb],
1364566488,in[lsb],
1364566648,in[lsb],
1364566687,in[lsb],
1364566746,in[lsb],
1364567550,in[lsb],
1364567835,in[lsb],
1364567887,in[lsb],
1364568120,in[lsb],
1364568154,in[lsb],
1364568281,in[lsb],
1364568405,in[lsb],
1364568690,in[lsb],
1364568975,in[lsb],
1364569087,in[lsb],
1364569260,in[lsb],
1364569381,in[lsb],
1364569646,in[lsb],
1364569688,in[lsb],
1364569706,near[vail; lsb; dana-library; ],
1364569852,near[dana-library; vail; lsb; ],
1364569867,in[mclaughlin],
1364569887,in[mclaughlin],
1364569899,near[mclaughlin; burke; college-street; ],
1364569914,near[college-street; burke; mclaughlin; ],
1364569964,near[college-street; burke; mclaughlin; ],
1364569980,in[sudikoff],
1364570162,in[sudikoff],
1364570287,in[sudikoff],
1364570447,in[sudikoff],
1364570732,in[sudikoff],
1364571017,in[sudikoff],
1364571302,in[sudikoff],
1364571487,in[sudikoff],
1364571588,in[sudikoff],
1364571872,in[sudikoff],
1364571974,in[sudikoff],
1364572687,in[sudikoff],
1364572775,in[sudikoff],
1364573060,in[sudikoff],
1364573345,in[sudikoff],
1364573629,in[sudikoff],
1364573887,in[sudikoff],
1364574155,near[mclaughlin; burke; sudikoff; ],
1364574207,near[burke; mclaughlin; college-street; ],
1364574222,near[burke; steele; college-street; ],
1364574275,near[college-street; steele; burke; ],
1364574316,near[college-street; steele; fairchild; ],
1364574379,near[steele; baker-berry; college-street; ],
1364574395,in[baker-berry],
1364574446,in[baker-berry],
1364574478,near[baker-berry; websterhall; wentworth; ],
1364574503,near[dartmouth_hall; thornton; wentworth; ],
1364574554,near[thornton; dartmouth_hall; hopkins; ],
1364574583,near[hopkins; robinson; reed; ],
1364574593,in[hopkins],
1364574854,in[hopkins],
1364574994,in[7-lebanon],
1364575010,in[7-lebanon],
1364575026,in[7-lebanon],
1364575092,in[7-lebanon],
1364575271,in[7-lebanon],
1364575281,in[7-lebanon],
1364575292,in[7-lebanon],
1364575303,in[7-lebanon],
1364575314,in[7-lebanon],
1364575325,in[7-lebanon],
1364575335,in[7-lebanon],
1364575352,in[7-lebanon],
1364575445,in[7-lebanon],
1364575775,in[7-lebanon],
1364575814,in[7-lebanon],
1364575830,in[hopkins],
1364575880,in[hopkins],
1364575890,in[hopkins],
1364575900,in[hopkins],
1364575910,in[hopkins],
1364575920,in[hopkins],
1364575930,near[hopkins; reed; carson-tech_services; ],
1364575940,near[hopkins; carson-tech_services; reed; ],
1364575950,near[hopkins; carson-tech_services; batrlett; ],
1364575960,near[hopkins; batrlett; reed; ],
1364575970,near[hopkins; reed; robinson; ],
1364575980,near[hopkins; robinson; baker-berry; ],
1364575990,near[hopkins; reed; baker-berry; ],
1364576000,near[reed; hopkins; baker-berry; ],
1364576010,near[dartmouth_hall; robinson; hopkins; ],
1364576020,near[wentworth; dartmouth_hall; hopkins; ],
1364576030,near[thornton; baker-berry; wentworth; ],
1364576040,near[wentworth; thornton; baker-berry; ],
1364576050,near[baker-berry; parkhurst; hopkins; ],
1364576060,near[parkhurst; wentworth; baker-berry; ],
1364576094,near[wentworth; baker-berry; hopkins; ],
1364576126,near[baker-berry; websterhall; wentworth; ],
1364576136,near[baker-berry; websterhall; wentworth; ],
1364576146,near[baker-berry; websterhall; wentworth; ],
1364576156,near[baker-berry; college-street; steele; ],
1364576166,in[baker-berry],
1364576176,in[baker-berry],
1364576243,near[baker-berry; steele; college-street; ],
1364576284,near[steele; college-street; baker-berry; ],
1364576335,near[sudikoff; college-street; burke; ],
1364576528,in[sudikoff],
1364576575,in[sudikoff],
1364576813,in[sudikoff],
1364577099,in[sudikoff],
1364577246,in[sudikoff],
1364577487,in[sudikoff],
1364578000,in[sudikoff],
1364578285,in[sudikoff],
1364578405,in[sudikoff],
1364578570,in[sudikoff],
1364578687,in[sudikoff],
1364578855,in[sudikoff],
1364578947,in[sudikoff],
1364578963,near[ropeferry; mclaughlin; college-street; ],
1364579057,near[ropeferry; college-street; mclaughlin; ],
1364579068,in[college-street],
1364579080,near[kemeny; college-street; baker-berry; ],
1364579118,in[kemeny],
1364579133,near[carson-tech_services; baker-berry; ],
1364579195,in[baker-berry],
1364579207,in[baker-berry],
1364579230,in[baker-berry],
1364579249,in[baker-berry],
1364579265,in[baker-berry],
1364579405,in[baker-berry],
1364579420,in[baker-berry],
1364579435,in[baker-berry],
1364579560,in[baker-berry],
1364579575,in[kemeny],
1364579593,near[kemeny; college-street; raven-house; ],
1364579607,near[kemeny; raven-house; steele; ],
1364579619,near[college-street; moore; raven-house; ],
1364579630,near[college-street; raven-house; moore; ],
1364579662,near[college-street; raven-house; moore; ],
1364579698,in[college-street],
1364579714,in[mclaughlin],
1364579725,in[mclaughlin],
1364579767,near[mclaughlin; sudikoff; ropeferry; ],
1364579782,in[sudikoff],
1364579818,in[sudikoff],
1364579887,in[sudikoff],
1364580317,in[sudikoff],
1364580613,in[sudikoff],
1364580897,in[sudikoff],
1364581087,in[sudikoff],
1364581182,in[sudikoff],
1364581467,in[sudikoff],
1364581752,in[sudikoff],
1364582037,in[sudikoff],
1364582287,in[sudikoff],
1364582441,in[sudikoff],
1364582823,in[sudikoff],
1364582845,in[sudikoff],
1364582927,in[sudikoff],
1364582959,in[sudikoff],
1364583224,in[sudikoff],
1364583246,in[mclaughlin],
1364583289,in[mclaughlin],
1364583300,in[mclaughlin],
1364583314,in[mclaughlin],
1364583329,near[mclaughlin; kellogg; remsen; ],
1364583376,in[remsen],
1364583397,in[remsen],
1364583413,near[remsen; dewey; ],
1364583428,in[vail],
1364583466,in[vail],
1364583480,in[vail],
1364583537,in[mclaughlin],
1364583547,in[mclaughlin],
1364583701,in[lsb],
1364583713,near[lsb; dana-library; vail; ],
1364583724,near[lsb; dana-library; vail; ],
1364583739,in[dana-library],
1364583751,near[dana-library; burke; college-street; ],
1364583765,near[college-street; steele; baker-berry; ],
1364583779,near[baker-berry; websterhall; steele; ],
1364583792,near[websterhall; baker-berry; wentworth; ],
1364583810,in[baker-berry],
1364583823,in[baker-berry],
1364583839,near[baker-berry; parkhurst; blunt_alumni_center; ],
1364583857,near[parkhurst; massrow; blunt_alumni_center; ],
1364583868,near[parkhurst; massrow; baker-berry; ],
1364583880,near[baker-berry; mcnutt; ],
1364583895,near[baker-berry; robinson; parkhurst; ],
1364583907,near[robinson; baker-berry; parkhurst; ],
1364583918,near[baker-berry; robinson; wentworth; ],
1364583930,near[baker-berry; east-wheelock; wentworth; ],
1364583941,in[east-wheelock],
1364583957,in[baker-berry],
1364583972,in[baker-berry],
1364583984,in[baker-berry],
1364583995,in[baker-berry],
1364584011,in[hopkins],
1364584022,in[hopkins],
1364584035,near[hopkins; carson-tech_services; baker-berry; ],
1364584051,in[HanoverInn],
1364584075,in[baker-berry],
1364584094,in[north-main],
1364584107,in[north-main],
1364584123,in[north-main],
1364584154,in[north-main],
1364584166,in[north-main],
1364584180,in[north-main],
1364584196,in[north-main],
1364584211,in[north-main],
1364584227,in[north-main],
1364670303,in[north-main],
1364670324,in[north-main],
1364670382,near[7-lebanon; vac; north-main; ],
1364670392,near[7-lebanon; north-main; ],
1364670402,in[7-lebanon],
1364670632,in[7-lebanon],
1364671003,in[7-lebanon],
1364671013,in[7-lebanon],
1364671040,in[7-lebanon],
1364671055,in[hopkins],
1364671087,in[hopkins],
1364671097,in[hopkins],
1364671123,in[hopkins],
1364671245,in[hopkins],
1364671331,in[hopkins],
1364671342,in[hopkins],
1364671449,in[hopkins],
1364671464,in[7-lebanon],
1364671521,near[7-lebanon; north-main; hopkins; ],
1364671589,in[north-main],
1364671599,in[north-main],
1364712032,in[north-main],
1364712044,in[north-main],
1364712059,near[hopkins; HanoverInn; hanoverpsych; ],
1364712072,near[hopkins; carson-tech_services; ],
1364712087,in[baker-berry],
1364712099,near[baker-berry; college-street; fairchild; ],
1364712129,near[college-street; sudikoff; fairchild; ],
1364712427,in[sudikoff],
1364712712,in[sudikoff],
1364712812,in[sudikoff],
1364712864,near[college-street; baker-berry; sudikoff; ],
1364712882,in[baker-berry],
1364712898,near[parkhurst; baker-berry; blunt_alumni_center; ],
1364712920,near[parkhurst; baker-berry; blunt_alumni_center; ],
1364712935,near[north-main; HanoverInn; ],
1364712951,near[north-main; HanoverInn; ],
1364712967,near[north-main; HanoverInn; ],
1364712982,in[north-main],
1364713236,in[north-main],
1364713251,in[north-main],
1364749299,in[north-main],
1364749314,in[north-main],
1364749386,in[north-main],
1364750096,in[7-lebanon],
1364750109,near[vac; lodge; 7-lebanon; ],
1364776156,in[softballfield],
1364776179,in[softballfield],
1364776194,in[softballfield],
1364776209,in[north-park],
1364776281,in[north-park],
1364776498,in[north-park],
1364776509,in[north-park],
1364776520,in[north-park],
1364776535,in[batrlett],
1364776555,in[hopkins],
1364776571,in[HanoverInn],
1364776586,in[north-main],
1364776605,in[north-main],
1364776620,in[north-main],
1364776636,in[north-main],
1364776652,in[north-main],
1364776667,in[north-main],
1364776683,in[north-main],
1364776764,in[north-main],
1364776789,in[north-main],
1364823728,in[HanoverInn],
1364823748,in[HanoverInn],
1364823862,in[dana-library],
1364824081,in[lsb],
1364824156,in[lsb],
1364824169,in[lsb],
1364824275,in[lsb],
1364824386,in[lsb],
1364824687,in[lsb],
1364825178,in[lsb],
1364825463,in[lsb],
1364825748,in[lsb],
1364825887,in[lsb],
1364826033,in[lsb],
1364826168,in[lsb],
1364826279,in[lsb],
1364826453,in[lsb],
1364826597,in[lsb],
1364826738,in[lsb],
1364827023,in[lsb],
1364827087,in[lsb],
1364827308,in[lsb],
1364827593,in[lsb],
1364827878,in[lsb],
1364827986,in[lsb],
1364828287,in[lsb],
1364828737,in[lsb],
1364828778,in[lsb],
1364828891,near[dana-library; lsb; vail; ],
1364828925,in[mclaughlin],
1364828949,near[burke; mclaughlin; college-street; ],
1364828961,near[burke; college-street; mclaughlin; ],
1364829000,near[sudikoff; mclaughlin; burke; ],
1364829036,in[sudikoff],
1364829047,in[sudikoff],
1364829351,in[sudikoff],
1364829487,in[sudikoff],
1364829636,in[sudikoff],
1364829770,in[sudikoff],
1364830055,in[sudikoff],
1364830340,in[sudikoff],
1364830625,in[sudikoff],
1364830687,in[sudikoff],
1364830910,in[sudikoff],
1364831195,in[sudikoff],
1364831481,in[sudikoff],
1364831578,in[sudikoff],
1364831887,in[sudikoff],
1364832383,in[sudikoff],
1364832418,in[sudikoff],
1364832434,in[sudikoff],
1364832668,in[sudikoff],
1364832953,in[sudikoff],
1364833087,in[sudikoff],
1364833238,in[sudikoff],
1364833269,in[sudikoff],
1364833281,in[sudikoff],
1364833372,in[sudikoff],
1364833657,in[sudikoff],
1364833943,in[sudikoff],
1364834228,in[sudikoff],
1364834287,in[sudikoff],
1364834513,in[sudikoff],
1364834798,in[sudikoff],
1364835083,in[sudikoff],
1364835186,in[sudikoff],
1364835443,in[sudikoff],
1364835487,in[sudikoff],
1364835992,in[sudikoff],
1364836277,in[sudikoff],
1364836563,in[sudikoff],
1364836589,in[sudikoff],
1364836687,in[sudikoff],
1364836848,in[sudikoff],
1364836975,in[sudikoff],
1364837260,in[sudikoff],
1364837546,in[sudikoff],
1364837664,in[sudikoff],
1364837811,in[sudikoff],
1364837887,in[sudikoff],
1364838115,in[sudikoff],
1364838401,in[sudikoff],
1364838685,in[sudikoff],
1364838786,in[sudikoff],
1364839088,in[sudikoff],
1364839598,in[sudikoff],
1364839758,in[sudikoff],
1364839883,in[sudikoff],
1364840168,in[sudikoff],
1364840287,in[sudikoff],
1364840453,in[sudikoff],
1364840679,in[sudikoff],
1364840689,in[sudikoff],
1364840974,in[sudikoff],
1364841259,in[sudikoff],
1364841487,in[sudikoff],
1364841544,in[sudikoff],
1364841829,in[sudikoff],
1364842114,in[sudikoff],
1364842399,in[sudikoff],
1364842502,in[sudikoff],
1364842687,in[sudikoff],
1364843303,in[sudikoff],
1364843589,in[sudikoff],
1364843764,in[sudikoff],
1364843874,in[sudikoff],
1364843887,in[sudikoff],
1364844159,in[sudikoff],
1364844444,in[sudikoff],
1364844729,in[sudikoff],
1364845014,in[sudikoff],
1364845087,in[sudikoff],
1364845114,in[sudikoff],
1364845647,in[sudikoff],
1364845957,in[sudikoff],
1364846242,in[sudikoff],
1364846287,in[sudikoff],
