time,location
1364409865,in[sudikoff],
1364409877,in[sudikoff],
1364409897,in[sudikoff],
1364409912,in[sudikoff],
1364409922,in[sudikoff],
1364409932,in[sudikoff],
1364411646,in[sudikoff],
1364760446,in[sudikoff],
1364760513,in[sudikoff],
1364761645,in[sudikoff],
1364762334,in[sudikoff],
1364762845,in[sudikoff],
1364764045,in[sudikoff],
1364764146,in[sudikoff],
1364764952,in[sudikoff],
1364765245,in[sudikoff],
1364766006,in[sudikoff],
1364766445,in[sudikoff],
1364767645,in[sudikoff],
1364767858,in[sudikoff],
1364768845,in[sudikoff],
1364769666,in[sudikoff],
1364770045,in[sudikoff],
1364771245,in[sudikoff],
1364771526,in[sudikoff],
1364772445,in[sudikoff],
1364773386,in[sudikoff],
1364773645,in[sudikoff],
1364774845,in[sudikoff],
1364775246,in[sudikoff],
1364775752,in[sudikoff],
1364776045,in[sudikoff],
1364777106,in[sudikoff],
1364777245,in[sudikoff],
1364778445,in[sudikoff],
1364778966,in[sudikoff],
1364779645,in[sudikoff],
1364780826,in[sudikoff],
1364780845,in[sudikoff],
1364782045,in[sudikoff],
1364782686,in[sudikoff],
1364783247,in[sudikoff],
1364784445,in[sudikoff],
1364784533,in[sudikoff],
1364785645,in[sudikoff],
1364786346,in[sudikoff],
1364786552,in[sudikoff],
1364786845,in[sudikoff],
1364788045,in[sudikoff],
1364788206,in[sudikoff],
1364789245,in[sudikoff],
1364790066,in[sudikoff],
1364790445,in[sudikoff],
1364791645,in[sudikoff],
1364791926,in[sudikoff],
1364792845,in[sudikoff],
1364793786,in[sudikoff],
1364794045,in[sudikoff],
1364795245,in[sudikoff],
1364795600,in[sudikoff],
1364796445,in[sudikoff],
1364797352,in[sudikoff],
1364797446,in[sudikoff],
1364797645,in[sudikoff],
1364798845,in[sudikoff],
1364799263,in[sudikoff],
1364800045,in[sudikoff],
1364801106,in[sudikoff],
1364801245,in[sudikoff],
1364802445,in[sudikoff],
1364802966,in[sudikoff],
1364803645,in[sudikoff],
1364804826,in[sudikoff],
1364804845,in[sudikoff],
1364806045,in[sudikoff],
1364806677,in[sudikoff],
1364807245,in[sudikoff],
1364808152,in[sudikoff],
1364808445,in[sudikoff],
1364808486,in[sudikoff],
1364809645,in[sudikoff],
1364810334,in[sudikoff],
1364810845,in[sudikoff],
1364812045,in[sudikoff],
1364812146,in[sudikoff],
1364813245,in[sudikoff],
1364814006,in[sudikoff],
1364814445,in[sudikoff],
1364815645,in[sudikoff],
1364815835,in[sudikoff],
1364816845,in[sudikoff],
1364817666,in[sudikoff],
1364818045,in[sudikoff],
