time,BSSID,freq,level
1364409462,00:01:36:57:be:88,2427,-67
1364409462,00:1c:10:af:35:b5,2462,-79
1364409462,00:25:bc:88:5b:6d,2427,-73
1364409462,00:26:18:9f:c0:c9,2437,-40
1364409462,1c:17:d3:fc:db:2f,5200,-65
1364409462,1c:17:d3:fc:f1:1f,5785,-86
1364409462,2c:b0:5d:9e:26:6b,2417,-13
1364409462,74:44:01:96:50:66,2422,-66
1364409462,ac:a0:16:ca:5b:e0,2412,-84
1364409462,d0:57:4c:56:fd:43,2437,-68
1364409462,d0:57:4c:57:57:ff,5220,-75
1364409462,dc:7b:94:87:27:3e,5785,-80

1364411330,00:01:36:57:be:88,2427,-85
1364411330,00:25:bc:88:5b:6d,2427,-75
1364411330,00:26:18:9f:c0:c9,2437,-34
1364411330,1c:17:d3:fc:db:2f,5200,-76
1364411330,1c:17:d3:fc:f1:1f,5785,-90
1364411330,74:44:01:96:50:66,2422,-69
1364411330,ac:a0:16:ca:c3:c0,2437,-83
1364411330,d0:57:4c:56:fd:40,2437,-70
1364411330,d0:57:4c:57:57:ff,5220,-64
1364411330,dc:7b:94:87:27:3e,5785,-88

1364504942,00:01:36:57:be:88,2427,-78
1364504942,00:1c:10:af:35:b5,2462,-76
1364504942,00:25:bc:88:5b:6e,5785,-86
1364504942,00:26:18:9f:c0:c9,2437,-42
1364504942,1c:17:d3:fc:db:2f,5200,-65
1364504942,1c:17:d3:fc:f1:10,2412,-71
1364504942,2c:b0:5d:9e:26:6b,2417,-75
1364504942,74:44:01:96:50:66,2422,-67
1364504942,ac:a0:16:ca:5b:e1,2412,-84
1364504942,ac:a0:16:ca:c3:c0,2437,-84
1364504942,d0:57:4c:56:fd:43,2437,-72
1364504942,d0:57:4c:57:57:ff,5220,-70
1364504942,dc:7b:94:87:27:30,2462,-77

1364505471,00:01:36:57:be:88,2427,-57
1364505471,00:26:18:9f:c0:c9,2437,-42
1364505471,5c:96:9d:64:5d:e1,2462,-83
1364505471,ac:a0:16:ca:5c:9f,5765,-69
1364505471,d0:57:4c:08:80:df,5220,-49
1364505471,d0:57:4c:08:84:ef,5805,-79
1364505471,d0:57:4c:56:58:b0,2462,-89

1364505814,1c:17:d3:fc:de:6f,5200,-89
1364505814,d0:57:4c:08:78:43,2412,-83
1364505814,d0:57:4c:08:84:ec,5805,-62
1364505814,d0:57:4c:56:64:10,2412,-83

1364506140,1c:17:d3:fc:de:60,2462,-86
1364506140,d0:57:4c:08:78:42,2412,-83
1364506140,d0:57:4c:08:84:ef,5805,-64
1364506140,d0:57:4c:56:64:13,2412,-85

1364506465,00:01:36:57:be:87,2427,-91
1364506465,00:26:18:9f:c0:c9,2437,-91
1364506465,1c:17:d3:fc:de:60,2462,-83
1364506465,d0:57:4c:08:78:42,2412,-84
1364506465,d0:57:4c:08:84:ec,5805,-62
1364506465,d0:57:4c:56:64:13,2412,-85

1364506746,00:01:36:57:be:87,2427,-91
1364506746,1c:17:d3:fc:de:63,2462,-83
1364506746,d0:57:4c:08:78:40,2412,-84
1364506746,d0:57:4c:08:84:ec,5805,-58
1364506746,d0:57:4c:56:64:11,2412,-84

1364506792,00:01:36:57:be:87,2427,-91
1364506792,1c:17:d3:fc:de:63,2462,-86
1364506792,d0:57:4c:08:78:40,2412,-82
1364506792,d0:57:4c:08:84:ec,5805,-58
1364506792,d0:57:4c:56:64:11,2412,-82

1364506977,00:01:36:57:be:88,2427,-89
1364506977,1c:17:d3:fc:de:63,2462,-86
1364506977,d0:57:4c:08:78:40,2412,-82
1364506977,d0:57:4c:08:84:ef,5805,-61
1364506977,d0:57:4c:56:64:11,2412,-82

1364507297,00:01:36:57:be:87,2427,-92
1364507297,00:26:18:9f:c0:c9,2437,-90
1364507297,1c:17:d3:fc:de:6f,5200,-92
1364507297,d0:57:4c:08:78:40,2412,-82
1364507297,d0:57:4c:08:80:df,5220,-93
1364507297,d0:57:4c:08:84:ec,5805,-64
1364507297,d0:57:4c:56:64:11,2412,-83

1364507342,00:26:18:9f:c0:c9,2437,-89
1364507342,1c:17:d3:fc:de:63,2462,-88
1364507342,d0:57:4c:08:78:40,2412,-80
1364507342,d0:57:4c:08:80:df,5220,-94
1364507342,d0:57:4c:08:84:ec,5805,-64
1364507342,d0:57:4c:56:64:10,2412,-87

1364507626,00:26:18:9f:c0:c9,2437,-87
1364507626,1c:17:d3:fc:de:60,2462,-86
1364507626,d0:57:4c:08:78:42,2412,-84
1364507626,d0:57:4c:08:84:e3,2437,-58
1364507626,d0:57:4c:56:64:13,2412,-85

1364508541,00:26:18:9f:c0:c9,2437,-87
1364508541,1c:17:d3:fc:de:6f,5200,-89
1364508541,d0:57:4c:08:78:41,2412,-84
1364508541,d0:57:4c:08:80:de,5220,-94
1364508541,d0:57:4c:08:84:ec,5805,-64
1364508541,d0:57:4c:56:64:13,2412,-85

1364509741,1c:17:d3:fc:de:6d,5200,-87
1364509741,d0:57:4c:08:78:42,2412,-81
1364509741,d0:57:4c:08:80:de,5220,-94
1364509741,d0:57:4c:08:84:ec,5805,-64
1364509741,d0:57:4c:56:64:13,2412,-87

1364510106,1c:17:d3:fc:de:61,2462,-83
1364510106,d0:57:4c:08:78:42,2412,-81
1364510106,d0:57:4c:08:84:ec,5805,-64
1364510106,d0:57:4c:56:64:13,2412,-87

1364510941,1c:17:d3:fc:de:61,2462,-83
1364510941,d0:57:4c:08:84:ec,5805,-64

1364511913,00:01:36:57:be:88,2427,-90
1364511913,1c:17:d3:fc:de:60,2462,-80
1364511913,d0:57:4c:08:78:42,2412,-83
1364511913,d0:57:4c:08:84:ec,5805,-57
1364511913,d0:57:4c:56:64:13,2412,-86

1364512141,00:01:36:57:be:88,2427,-90
1364512141,1c:17:d3:fc:de:60,2462,-80
1364512141,d0:57:4c:08:78:42,2412,-83
1364512141,d0:57:4c:08:84:ec,5805,-57
1364512141,d0:57:4c:56:64:13,2412,-86

1364513052,d0:57:4c:08:84:ec,5805,-57

1364513068,00:01:36:57:be:87,2427,-74
1364513068,1c:17:d3:fc:de:6f,5200,-76
1364513068,2c:b0:5d:9e:26:6b,2417,-92
1364513068,ac:a0:16:ca:5c:90,2437,-79
1364513068,ac:a0:16:ca:a4:70,2462,-79
1364513068,d0:57:4c:08:4a:c0,2437,-81
1364513068,d0:57:4c:08:78:43,2412,-80
1364513068,d0:57:4c:08:80:dc,5220,-80
1364513068,d0:57:4c:08:84:e0,2437,-87
1364513068,d0:57:4c:08:85:70,2412,-72
1364513068,d0:57:4c:56:58:b0,2462,-66
1364513068,d0:57:4c:56:64:10,2412,-86
1364513068,d0:57:4c:57:00:2f,5220,-74

1364513090,00:01:36:57:be:87,2427,-74
1364513090,1c:17:d3:fc:de:6f,5200,-76
1364513090,2c:b0:5d:9e:26:6b,2417,-92
1364513090,ac:a0:16:ca:5c:90,2437,-79
1364513090,ac:a0:16:ca:a4:70,2462,-79
1364513090,d0:57:4c:08:4a:c0,2437,-81
1364513090,d0:57:4c:08:78:43,2412,-80
1364513090,d0:57:4c:08:80:dc,5220,-83
1364513090,d0:57:4c:08:84:e0,2437,-87
1364513090,d0:57:4c:08:85:70,2412,-72
1364513090,d0:57:4c:56:58:b0,2462,-66
1364513090,d0:57:4c:56:64:10,2412,-86
1364513090,d0:57:4c:57:00:2f,5220,-74

1364513120,00:15:6d:9e:64:b6,5745,-91
1364513120,04:c5:a4:67:a5:a3,2437,-89
1364513120,1c:17:d3:fd:0d:13,2412,-84
1364513120,1c:17:d3:fd:0d:1f,5220,-95
1364513120,5c:96:9d:64:5d:e1,2462,-86
1364513120,b8:be:bf:45:87:f0,2412,-88
1364513120,d0:57:4c:08:80:dc,5220,-91
1364513120,d0:57:4c:08:9d:e1,2412,-86
1364513120,d0:57:4c:08:9d:e2,2412,-81
1364513120,dc:7b:94:87:0c:1f,5200,-89
1364513120,dc:7b:94:87:0d:e0,2437,-88
1364513120,dc:7b:94:87:38:11,2437,-86

1364513145,00:15:6d:9e:64:b6,5745,-91
1364513145,00:26:18:9f:c0:c9,2437,-83
1364513145,d0:57:4c:08:9d:e2,2412,-86
1364513145,d0:57:4c:56:58:61,2412,-86
1364513145,d0:57:4c:56:66:20,2437,-89
1364513145,dc:7b:94:87:53:d1,2412,-73
1364513145,dc:7b:94:87:8e:03,2437,-83
1364513145,dc:7b:94:87:92:91,2462,-65

1364513156,00:15:6d:9e:64:b6,5745,-91
