time,MAC,class_id,level
1364385773,68:A3:C4:49:61:9E,4063500,-88

1364386979,00:1E:C2:94:87:2B,3670276,-82
1364386979,40:A6:D9:FB:47:70,3801348,-90
1364386979,40:A6:D9:FB:48:54,3801348,-95
1364386979,44:2A:60:D7:4D:E3,3670276,-86
1364386979,44:2A:60:D7:8A:E1,3670276,-92
1364386979,64:B9:E8:D8:1C:B6,3801348,-82
1364386979,64:B9:E8:DE:D9:B7,3801348,-82

1364388189,00:06:66:46:B6:55,7936,-92
1364388189,00:17:F2:BA:19:9A,3670276,-88
1364388189,00:1E:C2:94:87:2B,3670276,-90
1364388189,40:A6:D9:FB:47:70,3801348,-86
1364388189,40:A6:D9:FB:48:54,3801348,-100
1364388189,44:2A:60:D7:4D:E3,3670276,-96
1364388189,64:B9:E8:D8:1C:B6,3801348,-74
1364388189,64:B9:E8:DE:D9:B7,3801348,-86

1364389373,40:A6:D9:FB:47:70,3801348,-87
1364389373,44:2A:60:F9:57:3B,3801356,-92
1364389373,64:B9:E8:D8:1C:B6,3801348,-78
1364389373,64:B9:E8:DE:D9:B7,3801348,-90

1364390576,00:06:66:46:B6:55,7936,-88
1364390576,00:17:F2:BA:19:9A,3670276,-88
1364390576,00:1E:C2:8F:C8:E1,3670276,-94
1364390576,00:1E:C2:94:87:2B,3670276,-100
1364390576,00:1E:C2:98:1B:79,3801348,-85
1364390576,04:0C:CE:E7:ED:BE,3670276,-89
1364390576,28:CF:DA:DC:E9:2F,3801356,-85
1364390576,40:A6:D9:FB:47:70,3801348,-75
1364390576,40:A6:D9:FB:48:54,3801348,-90
1364390576,44:2A:60:D7:4D:E3,3670276,-87
1364390576,44:2A:60:D7:8A:E1,3670276,-81
1364390576,64:B9:E8:D8:1C:B6,3801348,-76
1364390576,64:B9:E8:DE:D9:B7,3801348,-94
1364390576,C8:BC:C8:A9:9F:84,3670284,-86

1364391779,00:1E:C2:98:1B:79,3801348,-97
1364391779,64:B9:E8:DE:D9:B7,3801348,-92
1364391779,C8:BC:C8:A9:9F:84,3670284,-95

1364392974,00:26:08:B8:D2:CF,3801356,-87
1364392974,20:C9:D0:BA:1A:62,3801356,-93
1364392974,44:2A:60:FB:B7:59,3801356,-81
1364392974,58:B0:35:80:8D:2E,3801356,-80
1364392974,7C:FA:DF:8B:71:73,7995916,-81
1364392974,98:D6:F7:BD:F7:3E,5898764,-77
1364392974,CC:52:AF:08:04:23,393484,-88
1364392974,E4:CE:8F:41:FB:11,3801356,-80

1364394173,00:26:08:B8:D2:CF,3801356,-80
1364394173,20:C9:D0:BA:1A:62,3801356,-88
1364394173,44:2A:60:FB:B7:59,3801356,-83
1364394173,58:B0:35:80:8D:2E,3801356,-82
1364394173,68:A8:6D:17:5B:75,3801356,-66
1364394173,78:DD:08:A7:C8:62,131340,-94
1364394173,7C:FA:DF:8B:71:73,7995916,-67
1364394173,98:D6:F7:BD:F7:3E,5898764,-73
1364394173,CC:52:AF:08:04:23,393484,-97
1364394173,E4:CE:8F:41:FB:11,3801356,-73

1364395374,00:26:08:B8:D2:CF,3801356,-84
1364395374,20:C9:D0:BA:1A:62,3801356,-96
1364395374,44:2A:60:FB:B7:59,3801356,-76
1364395374,58:B0:35:80:8D:2E,3801356,-72
1364395374,68:A8:6D:17:5B:75,3801356,-68
1364395374,78:DD:08:A7:C8:62,131340,-89
1364395374,7C:FA:DF:8B:71:73,7995916,-75
1364395374,98:D6:F7:BD:F7:3E,5898764,-70
1364395374,CC:52:AF:08:04:23,393484,-90
1364395374,E4:CE:8F:41:FB:11,3801356,-75

1364396574,00:26:08:B8:D2:CF,3801356,-83
1364396574,20:C9:D0:BA:1A:62,3801356,-96
1364396574,44:2A:60:FB:B7:59,3801356,-76
1364396574,58:B0:35:80:8D:2E,3801356,-81
1364396574,68:A8:6D:17:5B:75,3801356,-80
1364396574,7C:FA:DF:8B:71:73,7995916,-73
1364396574,98:D6:F7:BD:F7:3E,5898764,-57
1364396574,CC:52:AF:08:04:23,393484,-93
1364396574,E4:CE:8F:41:FB:11,3801356,-88

1364397784,00:1D:4F:8B:9D:20,3670276,-87
1364397784,00:22:41:3E:49:85,3670276,-79
1364397784,04:0C:CE:E8:6E:75,3801348,-86
1364397784,B8:F6:B1:36:06:DC,3801348,-87

1364401384,00:06:66:46:B6:55,7936,-86
1364401384,00:17:F2:BA:19:9A,3670276,-92
1364401384,00:1E:C2:98:1B:79,3801348,-78
1364401384,00:25:BC:5D:B5:54,3801348,-96
1364401384,40:A6:D9:FB:47:70,3801348,-92
1364401384,40:A6:D9:FB:48:54,3801348,-84
1364401384,44:2A:60:D7:4D:E3,3670276,-94
1364401384,44:2A:60:D7:8A:E1,3670276,-89
1364401384,44:2A:60:D8:85:51,3801348,-85
1364401384,64:B9:E8:D8:1C:B6,3801348,-76
1364401384,64:B9:E8:DE:D9:B7,3801348,-87
1364401384,C8:BC:C8:A9:9F:84,3670284,-90

1364402579,00:06:66:46:B6:55,7936,-88
1364402579,00:17:F2:BA:19:9A,3670276,-85
1364402579,00:1E:C2:8F:C8:E1,3670276,-91
1364402579,00:1E:C2:94:87:2B,3670276,-80
1364402579,28:CF:DA:DC:E9:2F,3801356,-94
1364402579,40:A6:D9:FB:47:70,3801348,-84
1364402579,40:A6:D9:FB:48:54,3801348,-100
1364402579,44:2A:60:D7:4D:E3,3670276,-86
1364402579,44:2A:60:D7:8A:E1,3670276,-87
1364402579,44:2A:60:D8:85:51,3801348,-91
1364402579,64:B9:E8:D8:1C:B6,3801348,-74
1364402579,64:B9:E8:DE:D9:B7,3801348,-76
1364402579,C8:BC:C8:A9:9F:84,3670284,-93

1364403784,00:06:66:46:B6:55,7936,-96
1364403784,00:17:F2:BA:19:9A,3670276,-88
