time,MAC,class_id,level
1364410766,00:1E:C2:8F:C8:E1,3670276,-78
1364410766,00:1E:C2:94:6D:EE,3801348,-69
1364410766,00:1E:C2:95:92:57,3801348,-72
1364410766,00:1E:C2:98:1B:79,3801348,-86
1364410766,00:26:08:CF:64:B3,3801356,-90
1364410766,64:B9:E8:DE:D9:B7,3801348,-95

1364411966,00:1E:C2:8F:C8:E1,3670276,-77
1364411966,00:1E:C2:94:6D:EE,3801348,-70
1364411966,00:1E:C2:95:92:57,3801348,-73
1364411966,04:0C:CE:E8:6E:75,3801348,-90
1364411966,64:B9:E8:DE:D9:B7,3801348,-97

1364760762,00:1E:C2:8F:C8:E1,3670276,-79
1364760762,00:1E:C2:94:6D:EE,3801348,-68
1364760762,00:1E:C2:95:92:57,3801348,-67
1364760762,00:1E:C2:98:1B:79,3801348,-92
1364760762,64:B9:E8:DE:D9:B7,3801348,-92
1364760762,E4:CE:8F:74:D4:50,3670276,-90
1364760762,F0:08:F1:58:A0:1B,5767692,-98

1364761962,00:26:08:BF:09:9A,3670284,-92
1364761962,00:26:08:C6:D5:E8,3801356,-90
1364761962,00:26:08:CF:3B:9E,3670284,-70
1364761962,04:0C:CE:25:9C:71,3670276,-88
1364761962,04:0C:CE:25:9D:3E,3670276,-90
1364761962,20:C9:D0:48:57:1C,3801356,-86
1364761962,58:B0:35:7A:36:BA,3801356,-68
1364761962,58:B0:35:92:F9:6D,3670284,-76
1364761962,58:B0:35:9A:95:E9,3670284,-93
1364761962,58:B0:35:9B:1E:5E,3670284,-74
1364761962,5C:59:48:CE:5D:05,3801356,-80
1364761962,60:33:4B:06:D5:67,3670284,-92
1364761962,70:56:81:98:9F:6C,3801356,-79
1364761962,70:56:81:AA:02:32,3801356,-98
1364761962,C8:BC:C8:DD:71:C6,3670284,-87

1364763165,00:26:08:BF:09:9A,3670284,-97
1364763165,00:26:08:CF:3B:9E,3670284,-75
1364763165,04:0C:CE:25:9C:71,3670276,-85
1364763165,04:0C:CE:25:9D:3E,3670276,-88
1364763165,20:C9:D0:BA:1A:62,3801356,-87
1364763165,58:B0:35:7A:36:BA,3801356,-78
1364763165,58:B0:35:92:F9:6D,3670284,-73
1364763165,58:B0:35:9A:95:E9,3670284,-81
1364763165,58:B0:35:9B:1E:5E,3670284,-74
1364763165,5C:59:48:CE:5D:05,3801356,-76
1364763165,70:56:81:98:9F:6C,3801356,-77
1364763165,B8:F6:B1:3A:BD:F2,3670276,-76

1364764361,00:26:08:CF:3B:9E,3670284,-80
1364764361,04:0C:CE:25:9C:71,3670276,-78
1364764361,04:0C:CE:25:9D:3E,3670276,-88
1364764361,20:C9:D0:48:57:1C,3801356,-86
1364764361,20:C9:D0:BA:1A:62,3801356,-85
1364764361,58:B0:35:7A:36:BA,3801356,-68
1364764361,58:B0:35:8D:2C:6C,3801356,-90
1364764361,58:B0:35:92:F9:6D,3670284,-78
1364764361,5C:59:48:CE:5D:05,3801356,-84
1364764361,70:56:81:AA:02:32,3801356,-95
1364764361,B8:F6:B1:3A:BD:F2,3670276,-77
1364764361,C8:BC:C8:DD:71:C6,3670284,-90
1364764361,E4:CE:8F:29:77:6B,3801356,-95
1364764361,E4:CE:8F:41:B8:4B,3801356,-55

1364769161,00:25:00:5E:89:73,3670284,-90
1364769161,00:26:08:BF:09:9A,3670284,-93
1364769161,5C:59:48:CE:5D:05,3801356,-79
1364769161,B8:F6:B1:3A:BD:F2,3670276,-78
1364769161,B8:F6:B1:3A:FC:A0,3670276,-85
1364769161,C8:BC:C8:A8:0F:10,3670284,-71
1364769161,E4:CE:8F:29:77:6B,3801356,-94
1364769161,E4:CE:8F:41:B8:4B,3801356,-60

1364770363,00:25:00:5E:89:73,3670284,-92
1364770363,04:0C:CE:25:9C:71,3670276,-82
1364770363,04:0C:CE:25:9D:3E,3670276,-84
1364770363,58:B0:35:7A:36:BA,3801356,-79
1364770363,58:B0:35:9A:95:E9,3670284,-90
1364770363,B8:F6:B1:3A:BD:F2,3670276,-81
1364770363,C8:BC:C8:A8:0F:10,3670284,-72
1364770363,E4:CE:8F:41:B8:4B,3801356,-72

1364771562,00:26:08:BF:09:9A,3670284,-94
1364771562,00:26:08:D2:DE:08,3670284,-94
1364771562,04:0C:CE:25:9D:3E,3670276,-93
1364771562,58:B0:35:7A:36:BA,3801356,-73
1364771562,58:B0:35:97:4D:DA,3670284,-94
1364771562,90:27:E4:FE:C7:91,3670284,-78
1364771562,B8:F6:B1:3A:BD:F2,3670276,-78
1364771562,C8:BC:C8:A8:0F:10,3670284,-81
1364771562,C8:BC:C8:AA:32:AD,3670284,-76
1364771562,E4:CE:8F:29:77:6B,3801356,-96

1364772772,00:25:00:58:28:4F,3670284,-86
1364772772,00:26:08:BF:09:9A,3670284,-99
1364772772,00:26:08:C9:46:A9,3670284,-90
1364772772,00:26:08:DA:8D:5E,3801356,-86
1364772772,04:0C:CE:25:9D:3E,3670276,-86
1364772772,58:B0:35:7A:36:BA,3801356,-79
1364772772,5C:59:48:C7:04:8B,3670284,-83
1364772772,90:27:E4:FE:C7:91,3670284,-72
1364772772,90:27:E4:FE:C8:54,3801356,-97
1364772772,B8:F6:B1:3A:BD:F2,3670276,-79
1364772772,B8:F6:B1:3A:FC:A0,3670276,-85
1364772772,C8:BC:C8:AA:32:AD,3670284,-77
1364772772,D4:9A:20:6C:DB:33,3670284,-97
1364772772,E4:CE:8F:29:77:6B,3801356,-96
1364772772,E4:CE:8F:34:0D:3B,3801356,-90

1364773971,00:26:08:BF:09:9A,3670284,-97
1364773971,00:26:08:C1:9F:B2,3670284,-83
1364773971,00:26:08:C9:46:A9,3670284,-90
1364773971,00:26:08:CF:A7:D6,3670284,-62
1364773971,00:26:08:DA:8D:5E,3801356,-92
1364773971,04:0C:CE:25:9C:71,3670276,-81
1364773971,04:0C:CE:25:9D:3E,3670276,-83
1364773971,20:C9:D0:48:57:1C,3801356,-77
1364773971,58:B0:35:7A:36:BA,3801356,-75
1364773971,90:27:E4:FE:C7:91,3670284,-87
1364773971,B8:F6:B1:3A:BD:F2,3670276,-77
1364773971,B8:F6:B1:3A:FC:A0,3670276,-78
1364773971,D4:9A:20:6C:DB:33,3670284,-99
1364773971,E4:CE:8F:29:77:6B,3801356,-98
1364773971,E4:CE:8F:34:0D:3B,3801356,-96

1364775162,00:25:00:5F:5F:D5,3670284,-92
1364775162,00:26:08:BF:09:9A,3670284,-95
1364775162,00:26:08:CF:A7:D6,3670284,-70
1364775162,20:C9:D0:48:57:1C,3801356,-81
1364775162,58:B0:35:7A:36:BA,3801356,-76
1364775162,58:B0:35:97:4D:DA,3670284,-89
1364775162,5C:59:48:C7:04:8B,3670284,-88
1364775162,90:27:E4:FE:C7:91,3670284,-76
1364775162,B8:F6:B1:3A:BD:F2,3670276,-79
1364775162,B8:F6:B1:3A:FC:A0,3670276,-86
1364775162,C8:BC:C8:AA:0E:FC,3670284,-95
1364775162,E4:CE:8F:34:0D:3B,3801356,-86
1364775162,E4:CE:8F:35:0C:07,3801356,-85

1364776372,00:26:08:C1:9F:B2,3670284,-95
1364776372,00:26:08:CF:A7:D6,3670284,-74
1364776372,04:0C:CE:25:9C:71,3670276,-83
1364776372,20:C9:D0:48:57:1C,3801356,-71
1364776372,58:B0:35:7A:36:BA,3801356,-77
1364776372,90:27:E4:FE:C7:91,3670284,-76
1364776372,B8:F6:B1:3A:BD:F2,3670276,-84
