time,MAC,class_id,level
1364392901,00:26:08:B8:D2:CF,3801356,-8040
1364392901,58:B0:35:80:8D:2E,3801356,-8040
1364392901,98:D6:F7:BD:F7:3E,5898764,-8040
1364392901,E4:CE:8F:41:FB:11,3801356,-8040

1364394101,00:26:08:B8:D2:CF,3801356,-8040
1364394101,20:C9:D0:BA:1A:62,3801356,-8040
1364394101,58:B0:35:80:8D:2E,3801356,-8040
1364394101,68:A8:6D:17:5B:75,3801356,-8040
1364394101,78:DD:08:A7:C8:62,131340,-8040
1364394101,7C:FA:DF:8B:71:73,7995916,-8040
1364394101,98:D6:F7:BD:F7:3E,5898764,-8040
1364394101,CC:52:AF:08:04:23,393484,-8040

1364395302,00:26:08:B8:D2:CF,3801356,-8040
1364395302,20:C9:D0:BA:1A:62,3801356,-8040
1364395302,44:2A:60:FB:B7:59,3801356,-8040
1364395302,58:B0:35:80:8D:2E,3801356,-8040
1364395302,68:A8:6D:17:5B:75,3801356,-8040
1364395302,78:DD:08:A7:C8:62,131340,-8040
1364395302,7C:FA:DF:8B:71:73,7995916,-8040
1364395302,98:D6:F7:BD:F7:3E,5898764,-8040
1364395302,E4:CE:8F:41:FB:11,3801356,-8040

1364396501,00:26:08:B8:D2:CF,3801356,-8040
1364396501,58:B0:35:80:8D:2E,3801356,-8040
1364396501,68:A8:6D:17:5B:75,3801356,-8040
1364396501,7C:FA:DF:8B:71:73,7995916,-8040
1364396501,98:D6:F7:BD:F7:3E,5898764,-8040
1364396501,E4:CE:8F:41:FB:11,3801356,-8040

1364401307,00:05:4F:B5:03:FD,2098184,-8040

1364416907,00:1A:DB:60:73:13,3146760,-8040

1364425306,00:06:66:46:B6:55,7936,-8040
1364425306,00:17:F2:BA:19:9A,3670276,-8040
1364425306,00:1E:C2:8F:C8:E1,3670276,-8040
1364425306,00:1E:C2:94:6D:EE,3801348,-8040
1364425306,00:1E:C2:94:87:2B,3670276,-8040
1364425306,00:1E:C2:95:92:57,3801348,-8040
1364425306,00:1E:C2:98:1B:79,3801348,-8040
1364425306,40:A6:D9:FB:47:70,3801348,-8040
1364425306,40:A6:D9:FB:48:54,3801348,-8040
1364425306,44:2A:60:D7:4D:E3,3670276,-8040
1364425306,44:2A:60:D7:8A:E1,3670276,-8040
1364425306,44:2A:60:D8:85:51,3801348,-8040
1364425306,64:B9:E8:D8:1C:B6,3801348,-8040
1364425306,64:B9:E8:DE:D9:B7,3801348,-8040
1364425306,64:B9:E8:DE:DA:1B,3801348,-8040
1364425306,F0:08:F1:58:A0:1B,5767692,-8040

1364426507,00:06:66:46:B6:55,7936,-8040
1364426507,00:17:F2:BA:19:9A,3670276,-8040
1364426507,00:1E:C2:8F:C8:E1,3670276,-8040
1364426507,00:1E:C2:94:6D:EE,3801348,-8040
1364426507,00:1E:C2:94:87:2B,3670276,-8040
1364426507,00:1E:C2:95:92:57,3801348,-8040
1364426507,00:1E:C2:98:1B:79,3801348,-8040
1364426507,40:A6:D9:FB:47:70,3801348,-8040
1364426507,40:A6:D9:FB:48:54,3801348,-8040
1364426507,44:2A:60:D7:4D:E3,3670276,-8040
