id,device,timestamp,ACCOUNT_LABEL,DATE,TIME
fa61fdf3-165d-45bc-8b92-ac410b849bb2-18,1e068df6-5198-4921-befb-dee4e963cf79,1364490729,1,3/28/2013,12:00 PM
fa61fdf3-165d-45bc-8b92-ac410b849bb2-20,1e068df6-5198-4921-befb-dee4e963cf79,1364490729,2,3/28/2013,2:00 PM
fa61fdf3-165d-45bc-8b92-ac410b849bb2-21,1e068df6-5198-4921-befb-dee4e963cf79,1364490729,3,3/28/2013,7:00 PM
fa61fdf3-165d-45bc-8b92-ac410b849bb2-22,1e068df6-5198-4921-befb-dee4e963cf79,1364490729,4,3/28/2013,1:00 PM
ba8d04d4-31fe-48b4-9814-6bed2eabcfa0-23,1e068df6-5198-4921-befb-dee4e963cf79,1364577129,1,3/29/2013,10:00 AM
ba8d04d4-31fe-48b4-9814-6bed2eabcfa0-24,1e068df6-5198-4921-befb-dee4e963cf79,1364577129,2,3/29/2013,12:30 PM
ba8d04d4-31fe-48b4-9814-6bed2eabcfa0-27,1e068df6-5198-4921-befb-dee4e963cf79,1364577129,3,3/29/2013,9:20 AM
ba8d04d4-31fe-48b4-9814-6bed2eabcfa0-28,1e068df6-5198-4921-befb-dee4e963cf79,1364577129,4,3/29/2013,7:30 PM
113f9f5c-b2e1-40ee-991f-cf8c35f61097-417,1e068df6-5198-4921-befb-dee4e963cf79,1364663529,1,3/30/2013,6:30 AM
4d2e9772-4eae-4156-a22b-44297c886ce2-18,1e068df6-5198-4921-befb-dee4e963cf79,1364749929,1,3/31/2013,4:30 PM
964acd90-0c12-43fe-b7f9-b8d6afe00193-38,1e068df6-5198-4921-befb-dee4e963cf79,1364836329,1,4/1/2013,10:00 AM
964acd90-0c12-43fe-b7f9-b8d6afe00193-39,1e068df6-5198-4921-befb-dee4e963cf79,1364836329,2,4/1/2013,12:30 PM
067e4ffb-68ef-4f24-9239-7f72a887b382-36,1e068df6-5198-4921-befb-dee4e963cf79,1364922729,1,4/2/2013,2:00 PM
