2013-01-08 08:46:37,Novack Cafe,Breakfast
2013-01-08 10:42:50,53 Commons,Breakfast
2013-01-08 12:13:47,53 Commons,Lunch
2013-01-09 13:40:22,53 Commons,Lunch
2013-01-14 13:37:55,Novack Cafe,Lunch
2013-01-16 13:52:05,53 Commons,Lunch
2013-01-17 13:52:09,Novack Cafe,Snack
2013-01-18 13:39:06,Novack Cafe,Lunch
2013-01-24 10:15:04,53 Commons,Breakfast
2013-01-24 11:46:42,Collis Cafe,Snack
2013-01-24 13:47:22,Novack Cafe,Snack
2013-01-24 15:44:50,Novack Cafe,Lunch
2013-01-25 16:20:01,Novack Cafe,Supper
2013-01-28 10:23:07,53 Commons,Breakfast
2013-01-29 13:26:17,Novack Cafe,Lunch
2013-01-31 15:54:06,Novack Cafe,Lunch
2013-02-01 13:46:33,Novack Cafe,Lunch
2013-02-04 10:38:29,Novack Cafe,Breakfast
2013-02-05 14:55:32,Novack Cafe,Lunch
2013-02-06 13:45:33,53 Commons,Lunch
2013-02-06 13:56:21,Courtyard Cafe,Lunch
2013-02-09 13:48:07,Courtyard Cafe,Lunch
2013-02-11 10:56:18,Novack Cafe,Snack
2013-02-13 13:38:02,Novack Cafe,Lunch
2013-02-14 13:53:27,Novack Cafe,Lunch
2013-02-15 13:38:24,Novack Cafe,Lunch
2013-02-18 13:37:04,Novack Cafe,Lunch
2013-02-19 11:05:22,Novack Cafe,Snack
2013-02-19 12:56:26,Novack Cafe,Lunch
2013-02-19 15:49:59,Novack Cafe,Lunch
2013-02-20 10:49:39,Novack Cafe,Snack
2013-02-20 15:52:57,Novack Cafe,Lunch
2013-02-22 15:31:17,Novack Cafe,Lunch
2013-02-25 13:42:01,53 Commons,Lunch
2013-02-26 08:06:26,Novack Cafe,Breakfast
2013-02-26 10:07:14,53 Commons,Breakfast
2013-02-26 13:34:11,Novack Cafe,Lunch
2013-02-27 08:38:32,53 Commons,Breakfast
2013-03-04 13:52:37,Courtyard Cafe,Lunch
2013-03-05 08:10:19,Novack Cafe,Snack
2013-03-05 13:31:41,Novack Cafe,Snack
2013-03-05 15:54:30,Novack Cafe,Lunch
2013-03-06 13:39:27,Novack Cafe,Lunch
2013-03-07 15:36:57,Novack Cafe,Lunch
2013-03-08 13:44:15,Novack Cafe,Lunch
2013-03-09 11:31:37,Novack Cafe,Lunch
2013-03-09 12:26:40,Courtyard Cafe,Lunch
2013-03-26 10:52:56,53 Commons,Breakfast
2013-03-26 15:53:41,Novack Cafe,Lunch
2013-03-27 08:26:46,53 Commons,Breakfast
2013-03-28 13:01:00,Novack Cafe,Lunch
2013-04-01 09:08:29,53 Commons,Breakfast
2013-04-01 13:52:51,Novack Cafe,Lunch
2013-04-02 10:24:08,53 Commons,Breakfast
2013-04-02 13:27:06,Novack Cafe,Lunch
2013-04-02 15:52:37,Novack Cafe,Lunch
2013-04-03 13:44:41,53 Commons,Lunch
2013-04-03 17:29:14,Courtyard Cafe,Supper
2013-04-04 08:42:49,53 Commons,Breakfast
2013-04-04 13:03:08,Novack Cafe,Lunch
2013-04-05 09:09:41,53 Commons,Breakfast
2013-04-09 12:53:53,Novack Cafe,Lunch
2013-04-11 13:03:33,Novack Cafe,Lunch
2013-04-12 09:42:24,Novack Cafe,Breakfast
2013-04-15 08:14:11,53 Commons,Breakfast
2013-04-16 11:55:58,Novack Cafe,Lunch
2013-04-17 08:41:11,53 Commons,Breakfast
2013-04-18 08:35:49,53 Commons,Breakfast
2013-04-18 09:20:32,Novack Cafe,Breakfast
2013-04-22 09:47:28,Novack Cafe,Breakfast
2013-04-23 12:13:45,Novack Cafe,Lunch
2013-04-25 09:00:04,53 Commons,Breakfast
2013-04-25 10:55:45,Novack Cafe,Snack
2013-04-25 15:30:51,Novack Cafe,Lunch
2013-04-26 13:46:31,53 Commons,Lunch
2013-05-01 09:17:30,53 Commons,Breakfast
2013-05-02 15:29:20,Novack Cafe,Snack
2013-05-06 08:57:07,53 Commons,Breakfast
2013-05-07 12:51:09,Novack Cafe,Lunch
2013-05-08 08:52:11,Novack Cafe,Breakfast
2013-05-08 15:38:10,Novack Cafe,Lunch
2013-05-09 13:24:19,Novack Cafe,Lunch
2013-05-09 14:59:38,Novack Cafe,Snack
2013-05-10 09:03:07,53 Commons,Breakfast
2013-05-12 12:54:00,Novack Cafe,Lunch
2013-05-13 13:39:06,Novack Cafe,Lunch
2013-05-14 08:15:14,Novack Cafe,Breakfast
2013-05-14 10:04:09,53 Commons,Breakfast
2013-05-14 11:22:49,53 Commons,Lunch
2013-05-15 12:30:41,53 Commons,Lunch
2013-05-16 10:37:07,Novack Cafe,Snack
2013-05-16 12:06:46,Novack Cafe,Lunch
2013-05-17 09:28:22,Novack Cafe,Breakfast
2013-05-20 10:53:22,Novack Cafe,Snack
2013-05-20 13:56:40,53 Commons,Lunch
2013-05-21 15:40:27,Novack Cafe,Lunch
2013-05-22 08:21:15,Novack Cafe,Breakfast
2013-05-22 15:31:48,Novack Cafe,Snack
2013-05-23 15:22:53,Novack Cafe,Lunch
2013-05-24 12:40:34,53 Commons,Lunch
2013-05-25 11:19:30,53 Commons,Lunch
2013-05-27 11:01:07,Novack Cafe,Lunch
2013-05-28 11:18:50,Novack Cafe,Snack
2013-05-28 15:16:00,Collis Cafe,Lunch
2013-05-31 12:24:50,Novack Cafe,Lunch
