2013-01-06 12:37:35,53 Commons,Lunch
2013-01-06 16:12:40,King Arthur Flour Coffee Bar,Supper
2013-01-06 18:02:51,53 Commons,Supper
2013-01-07 09:13:20,53 Commons,Breakfast
2013-01-07 15:30:49,Courtyard Cafe,Snack
2013-01-07 17:33:35,Courtyard Cafe,Supper
2013-01-08 08:20:06,Collis Cafe,Snack
2013-01-08 13:39:32,Courtyard Cafe,Snack
2013-01-08 18:15:26,53 Commons,Supper
2013-01-09 08:43:36,Collis Cafe,Breakfast
2013-01-09 14:38:09,Courtyard Cafe,Snack
2013-01-09 20:16:29,Courtyard Cafe,Supper
2013-01-09 20:53:25,Courtyard Cafe,Supper
2013-01-10 08:22:42,Collis Cafe,Snack
2013-01-10 15:20:51,Courtyard Cafe,Lunch
2013-01-10 18:19:18,53 Commons,Supper
2013-01-11 08:47:13,Collis Cafe,Snack
2013-01-11 16:42:30,Courtyard Cafe,Supper
2013-01-16 17:44:51,53 Commons,Supper
2013-01-17 11:15:52,Courtyard Cafe,Lunch
2013-01-17 15:19:44,Courtyard Cafe,Lunch
2013-01-17 18:24:13,53 Commons,Supper
2013-01-18 08:46:49,Collis Cafe,Snack
2013-01-18 14:21:19,Courtyard Cafe,Snack
2013-01-18 17:21:04,53 Commons,Supper
2013-01-19 09:58:56,53 Commons,Breakfast
2013-01-20 23:18:05,Courtyard Cafe,Snack
2013-01-21 10:45:16,Collis Cafe,Breakfast
2013-01-21 14:38:34,Courtyard Cafe,Lunch
2013-01-21 18:42:07,Courtyard Cafe,Snack
2013-01-21 19:12:33,Courtyard Cafe,Supper
2013-01-22 09:25:50,53 Commons,Breakfast
2013-01-22 15:13:11,Courtyard Cafe,Lunch
2013-01-22 18:42:28,Courtyard Cafe,Supper
2013-01-24 18:19:59,53 Commons,Supper
2013-01-24 23:43:52,Courtyard Cafe,Supper
2013-01-25 14:40:39,Courtyard Cafe,Lunch
2013-01-25 21:36:18,Courtyard Cafe,Supper
2013-01-27 13:57:35,Courtyard Cafe,Lunch
2013-01-28 00:16:28,Courtyard Cafe,Supper
2013-01-28 17:33:38,53 Commons,Supper
2013-01-29 09:34:00,Collis Cafe,Breakfast
2013-01-29 18:35:10,53 Commons,Supper
2013-01-30 00:13:30,Courtyard Cafe,Supper
2013-01-30 14:21:40,Courtyard Cafe,Lunch
2013-01-30 17:52:05,53 Commons,Supper
