timestamp, activity inference
1364404108,0

1364404111,0

1364404114,0

1364404116,0

1364404119,0

1364404121,0

1364404124,0

1364404126,0

1364404129,0

1364404132,0

1364404134,0

1364404137,0

1364404140,0

1364404142,0

1364404145,0

1364404147,0

1364404150,0

1364404152,0

1364404155,0

1364404158,0

1364404160,0

1364404163,0

1364404344,0

1364404347,0

1364404349,0

1364404352,0

1364404354,0

1364404357,0

1364404360,0

1364404362,0

1364404365,0

1364404367,0

1364404370,0

1364404372,0

1364404375,0

1364404378,0

1364404380,0

1364404383,0

1364404385,0

1364404388,0

1364404391,0

1364404393,0

1364404396,0

1364404398,0

1364404401,0

1364404584,0

1364404586,0

1364404589,0

1364404592,0

1364404594,0

1364404597,0

1364404599,0

1364404602,0

1364404604,0

1364404607,0

1364404610,0

1364404612,0

1364404615,0

1364404617,0

1364404620,0

1364404623,0

1364404625,0

1364404628,0

1364404630,0

1364404633,0

1364404635,0

1364404638,0

1364404641,0

1364404643,0

1364404826,0

1364404829,0

1364404831,0

1364404834,0

1364404836,0

1364404839,0

1364404842,0

1364404844,0

1364404847,0

1364404849,0

1364404852,0

1364404854,0

1364404857,0

1364404860,0

1364404862,0

1364404865,0

1364404867,0

1364404870,0

1364404873,0

1364404875,0

1364404878,0

1364404880,0

1364404883,0

1364405066,0

1364405068,0

1364405071,0

1364405073,0

1364405076,0

1364405079,0

1364405081,0

1364405084,0

1364405086,0

1364405089,0

1364405091,0

1364405094,0

1364405097,0

1364405099,0

1364405102,0

1364405104,0

1364405107,0

1364405109,0

1364405112,0

1364405115,0

1364405117,0

1364405120,0

1364405122,0

1364405305,0

1364405308,0

1364405311,0

1364405313,0

1364405316,0

1364405318,0

1364405321,0

1364405323,0

1364405326,0

1364405329,0

1364405331,0

1364405334,0

1364405336,0

1364405339,0

1364405342,0

1364405344,0

1364405347,0

1364405349,0

1364405352,0

1364405354,0

1364405357,0

1364405360,0

1364405362,0

1364405545,0

1364405548,0

1364405550,0

1364405553,0

1364405555,0

1364405558,0

1364405561,0

1364405563,0

1364405566,0

1364405568,0

1364405571,0

1364405573,0

1364405576,0

1364405579,0

1364405581,0

1364405584,0

1364405586,0

1364405589,0

1364405592,0

1364405594,0

1364405597,0

1364405599,0

1364405602,0

1364405785,0

1364405787,0

1364405790,0

1364405792,0

1364405795,0

1364405797,0

1364405800,0

1364405803,0

1364405805,0

1364405808,0

1364405810,0

1364405813,0

1364405816,0

1364405818,0

1364405821,0

1364405823,0

1364405826,0

1364405828,0

1364405831,0

1364405834,0

1364405836,0

1364405839,0

1364405841,0

1364406024,0

1364406027,0

1364406029,0

1364406032,0

1364406035,0

1364406037,0

1364406040,0

1364406042,0

1364406045,0

1364406047,0

1364406050,0

1364406053,0

1364406055,0

1364406065,0

1364406068,0

1364406071,1

1364406076,1

1364406083,1

1364406266,1

1364406268,1

1364406271,1

1364406273,0

1364406276,3

1364406279,3

1364406281,3

1364406284,3

1364406286,3

1364406289,3

1364406292,1

1364406294,0

1364406297,0

1364406299,0

1364406302,0

1364406305,0

1364406307,0

1364406310,0

1364406312,0

1364406315,0

1364406317,0

1364406320,0

1364406323,0

1364406506,0

1364406508,0

1364406511,0

1364406529,0

1364406532,0

1364406534,2

1364406537,2

1364406539,2

1364406542,2

1364406545,1

1364406550,1

1364406552,1

1364406555,2

1364406557,2

1364406560,2

1364406563,1

1364406746,1

1364406749,1

1364406751,2

1364406754,2

1364406757,2

1364406759,2

1364406762,2

1364406764,2

1364406767,2

1364406769,2

1364406772,2

1364406775,2

1364406777,2

1364406780,2

1364406782,2

1364406785,2

1364406787,2

1364406790,2

1364406793,2

1364406795,2

1364406798,2

1364406800,2

1364406803,2

1364406986,2

1364406991,2

1364406993,2

1364406999,2

1364407004,2

1364407006,1

1364407009,1

1364407012,2

1364407014,2

1364407017,2

1364407019,2

1364407024,2

1364407027,2

1364407030,1

1364407032,1

1364407035,0

1364407037,0

1364407040,0

1364407042,0

1364407230,0

1364407233,0

1364407236,0

1364407238,0

1364407241,0

1364407243,0

1364407246,0

1364407249,0

1364407251,0

1364407254,0

1364407256,0

1364407259,0

1364407261,0

1364407264,0

1364407267,0

1364407269,0

1364407272,0

1364407274,0

1364407277,0

1364407279,0

1364407282,0

1364407465,0

1364407467,0

1364407470,0

1364407473,0

1364407475,0

1364407478,0

1364407480,0

1364407483,0

1364407486,0

1364407488,0

1364407491,0

1364407493,0

1364407496,0

1364407498,0

1364407501,0

1364407504,0

1364407506,0

1364407509,0

1364407511,0

1364407514,0

1364407516,0

1364407519,0

1364407522,0

1364407704,0

