timestamp, activity inference
1364427881,0

1364427884,0

1364427888,0

1364427892,0

1364427895,0

1364427899,0

1364427912,0

1364427916,0

1364427920,0

1364427925,0

1364427929,0

1364427934,0

1364530556,0

1364530561,0

1364530566,0

1364530571,0

1364530576,0

1364530581,0

1364530586,0

1364530591,0

1364530597,0

1364530602,0

1364530786,0

1364530791,0

1364530797,0

1364530802,0

1364530807,0

1364530813,0

1364530818,0

1364530823,0

1364530829,0

1364530833,0

1364530838,0

1364530843,0

1364531028,0

1364531033,0

1364531038,0

1364531043,0

1364531048,0

1364531053,0

1364531059,0

1364531064,0

1364531069,0

1364531075,0

1364531080,0

1364531085,0

1364531270,0

1364531275,0

1364531280,0

1364531285,0

1364531291,0

1364531295,0

1364531300,0

1364531305,0

1364531310,0

1364531315,0

1364531320,0

1364531325,0

1364531511,0

1364531516,0

1364531521,0

1364531526,0

1364531531,0

1364531536,0

1364531541,0

1364531545,0

1364531550,0

1364531556,0

1364531560,0

1364531565,0

1364531751,0

1364531756,0

1364531761,0

1364531766,0

1364531771,0

1364531777,0

1364531782,0

1364531787,0

1364531792,0

1364531798,0

1364531803,0

1364531988,0

1364531993,0

1364531998,0

1364532003,0

1364532009,0

1364532014,0

1364532019,0

1364532024,0

1364532029,0

1364532034,0

1364532039,0

1364532044,0

1364532228,0

1364532233,0

1364532239,0

1364532244,0

1364532249,0

1364532254,0

1364532259,0

1364532263,0

1364532268,0

1364532274,0

1364532278,0

1364532283,0

1364532469,0

1364532473,0

1364532478,0

1364532483,0

1364532488,0

1364532492,0

1364532497,0

1364532502,0

1364532507,0

1364532512,0

1364532518,0

1364532523,0

1364532708,0

1364532713,0

1364532718,0

1364532723,0

1364532728,0

1364532733,0

1364532738,0

1364532744,0

1364532749,0

1364532754,0

1364532758,0

1364532763,0

1364532949,0

1364532954,0

1364532960,0

1364532964,0

1364532970,0

1364532975,0

1364532980,0

1364532985,0

1364532990,0

1364532995,0

1364533000,0

1364533006,0

1364533191,0

1364533196,0

1364533201,0

1364533206,0

1364533211,0

1364533217,0

1364533223,0

1364533228,0

1364533232,0

1364533237,0

1364533242,0

1364533247,0

1364533432,0

1364533437,0

1364533441,0

1364533447,0

1364533452,0

1364533457,0

1364533462,0

1364533468,0

1364533473,0

1364533478,0

1364533483,0

1364533668,0

1364533674,0

1364533678,0

1364533683,0

1364533688,0

1364533692,0

1364533697,0

1364533702,0

1364533708,0

1364533712,0
