id,device,timestamp,RUNNING_TASKS_baseActivity_mClass,RUNNING_TASKS_baseActivity_mPackage,RUNNING_TASKS_id,RUNNING_TASKS_numActivities,RUNNING_TASKS_numRunning,RUNNING_TASKS_topActivity_mClass,RUNNING_TASKS_topActivity_mPackage
4dea6e7c-e1f2-43b8-800e-da2dd5d146f7-31,3d3b4725-e165-4c15-90ec-69942b685dd5,1364126951,com.android.settings.Settings$WifiSettingsActivity,com.android.settings,21,1,1,com.android.settings.Settings$WifiSettingsActivity,com.android.settings
4dea6e7c-e1f2-43b8-800e-da2dd5d146f7-31,3d3b4725-e165-4c15-90ec-69942b685dd5,1364126951,com.android.launcher2.Launcher,com.android.launcher,3,1,1,com.android.launcher2.Launcher,com.android.launcher
4dea6e7c-e1f2-43b8-800e-da2dd5d146f7-31,3d3b4725-e165-4c15-90ec-69942b685dd5,1364126951,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,20,1,1,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco
4dea6e7c-e1f2-43b8-800e-da2dd5d146f7-31,3d3b4725-e165-4c15-90ec-69942b685dd5,1364126951,com.android.settings.Settings,com.android.settings,19,1,1,com.android.settings.Settings,com.android.settings
4dea6e7c-e1f2-43b8-800e-da2dd5d146f7-31,3d3b4725-e165-4c15-90ec-69942b685dd5,1364126951,com.google.android.setupwizard.SetupWizardActivity,com.google.android.setupwizard,2,1,0,com.google.android.setupwizard.SetupWizardActivity,com.google.android.setupwizard
4dea6e7c-e1f2-43b8-800e-da2dd5d146f7-31,3d3b4725-e165-4c15-90ec-69942b685dd5,1364126951,com.android.contacts.activities.DialtactsActivity,com.android.contacts,7,1,1,com.android.contacts.activities.DialtactsActivity,com.android.contacts
4dea6e7c-e1f2-43b8-800e-da2dd5d146f7-87,3d3b4725-e165-4c15-90ec-69942b685dd5,1364128151,com.android.settings.Settings$WifiSettingsActivity,com.android.settings,21,1,1,com.android.settings.Settings$WifiSettingsActivity,com.android.settings
4dea6e7c-e1f2-43b8-800e-da2dd5d146f7-87,3d3b4725-e165-4c15-90ec-69942b685dd5,1364128151,com.android.launcher2.Launcher,com.android.launcher,3,1,1,com.android.launcher2.Launcher,com.android.launcher
4dea6e7c-e1f2-43b8-800e-da2dd5d146f7-87,3d3b4725-e165-4c15-90ec-69942b685dd5,1364128151,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,20,1,1,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco
4dea6e7c-e1f2-43b8-800e-da2dd5d146f7-87,3d3b4725-e165-4c15-90ec-69942b685dd5,1364128151,com.android.settings.Settings,com.android.settings,19,1,1,com.android.settings.Settings,com.android.settings
4dea6e7c-e1f2-43b8-800e-da2dd5d146f7-87,3d3b4725-e165-4c15-90ec-69942b685dd5,1364128151,com.google.android.setupwizard.SetupWizardActivity,com.google.android.setupwizard,2,1,0,com.google.android.setupwizard.SetupWizardActivity,com.google.android.setupwizard
4dea6e7c-e1f2-43b8-800e-da2dd5d146f7-87,3d3b4725-e165-4c15-90ec-69942b685dd5,1364128151,com.android.contacts.activities.DialtactsActivity,com.android.contacts,7,1,1,com.android.contacts.activities.DialtactsActivity,com.android.contacts
b5a329d1-2b7b-4af7-a580-a3b4b2784019-17,3d3b4725-e165-4c15-90ec-69942b685dd5,1364137751,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,20,2,2,com.google.android.apps.paco.PAM,com.google.android.apps.paco
b5a329d1-2b7b-4af7-a580-a3b4b2784019-17,3d3b4725-e165-4c15-90ec-69942b685dd5,1364137751,com.android.settings.Settings$WifiSettingsActivity,com.android.settings,21,1,1,com.android.settings.Settings$WifiSettingsActivity,com.android.settings
b5a329d1-2b7b-4af7-a580-a3b4b2784019-17,3d3b4725-e165-4c15-90ec-69942b685dd5,1364137751,com.android.launcher2.Launcher,com.android.launcher,3,1,1,com.android.launcher2.Launcher,com.android.launcher
b5a329d1-2b7b-4af7-a580-a3b4b2784019-17,3d3b4725-e165-4c15-90ec-69942b685dd5,1364137751,com.android.settings.Settings,com.android.settings,19,1,1,com.android.settings.Settings,com.android.settings
b5a329d1-2b7b-4af7-a580-a3b4b2784019-17,3d3b4725-e165-4c15-90ec-69942b685dd5,1364137751,com.google.android.setupwizard.SetupWizardActivity,com.google.android.setupwizard,2,1,0,com.google.android.setupwizard.SetupWizardActivity,com.google.android.setupwizard
b5a329d1-2b7b-4af7-a580-a3b4b2784019-17,3d3b4725-e165-4c15-90ec-69942b685dd5,1364137751,com.android.contacts.activities.DialtactsActivity,com.android.contacts,7,1,1,com.android.contacts.activities.DialtactsActivity,com.android.contacts
b5a329d1-2b7b-4af7-a580-a3b4b2784019-76,3d3b4725-e165-4c15-90ec-69942b685dd5,1364138951,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,20,2,2,com.google.android.apps.paco.PAM,com.google.android.apps.paco
b5a329d1-2b7b-4af7-a580-a3b4b2784019-76,3d3b4725-e165-4c15-90ec-69942b685dd5,1364138951,com.android.settings.Settings$WifiSettingsActivity,com.android.settings,21,1,1,com.android.settings.Settings$WifiSettingsActivity,com.android.settings
b5a329d1-2b7b-4af7-a580-a3b4b2784019-76,3d3b4725-e165-4c15-90ec-69942b685dd5,1364138951,com.android.launcher2.Launcher,com.android.launcher,3,1,1,com.android.launcher2.Launcher,com.android.launcher
b5a329d1-2b7b-4af7-a580-a3b4b2784019-76,3d3b4725-e165-4c15-90ec-69942b685dd5,1364138951,com.android.settings.Settings,com.android.settings,19,1,1,com.android.settings.Settings,com.android.settings
