id,device,timestamp,RUNNING_TASKS_baseActivity_mClass,RUNNING_TASKS_baseActivity_mPackage,RUNNING_TASKS_id,RUNNING_TASKS_numActivities,RUNNING_TASKS_numRunning,RUNNING_TASKS_topActivity_mClass,RUNNING_TASKS_topActivity_mPackage
a6206a6c-bdce-4431-ab5b-ce54bbb9d08e-33,6446baa6-a5a2-4382-8bd7-ae3bb8e7bbc5,1364136662,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,12,2,2,com.google.android.apps.paco.PAM,com.google.android.apps.paco
a6206a6c-bdce-4431-ab5b-ce54bbb9d08e-33,6446baa6-a5a2-4382-8bd7-ae3bb8e7bbc5,1364136662,com.android.launcher2.Launcher,com.android.launcher,3,1,1,com.android.launcher2.Launcher,com.android.launcher
a6206a6c-bdce-4431-ab5b-ce54bbb9d08e-33,6446baa6-a5a2-4382-8bd7-ae3bb8e7bbc5,1364136662,com.google.android.gm.ConversationListActivityGmail,com.google.android.gm,4,1,0,com.google.android.gm.ConversationListActivityGmail,com.google.android.gm
a6206a6c-bdce-4431-ab5b-ce54bbb9d08e-33,6446baa6-a5a2-4382-8bd7-ae3bb8e7bbc5,1364136662,org.bewellapp.dashBoardActivity,org.bewellapp,8,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
a6206a6c-bdce-4431-ab5b-ce54bbb9d08e-33,6446baa6-a5a2-4382-8bd7-ae3bb8e7bbc5,1364136662,com.android.settings.Settings$SecuritySettingsActivity,com.android.settings,6,1,1,com.android.settings.Settings$SecuritySettingsActivity,com.android.settings
a6206a6c-bdce-4431-ab5b-ce54bbb9d08e-33,6446baa6-a5a2-4382-8bd7-ae3bb8e7bbc5,1364136662,com.android.settings.Settings,com.android.settings,5,3,3,com.android.settings.deviceinfo.Status,com.android.settings
a6206a6c-bdce-4431-ab5b-ce54bbb9d08e-33,6446baa6-a5a2-4382-8bd7-ae3bb8e7bbc5,1364136662,com.google.android.setupwizard.SetupWizardActivity,com.google.android.setupwizard,2,1,0,com.google.android.setupwizard.SetupWizardActivity,com.google.android.setupwizard
78dcdcc5-14b5-4f11-98cb-7d16c790b684-33,6446baa6-a5a2-4382-8bd7-ae3bb8e7bbc5,1364133062,com.android.launcher2.Launcher,com.android.launcher,3,1,1,com.android.launcher2.Launcher,com.android.launcher
78dcdcc5-14b5-4f11-98cb-7d16c790b684-33,6446baa6-a5a2-4382-8bd7-ae3bb8e7bbc5,1364133062,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,12,1,1,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco
78dcdcc5-14b5-4f11-98cb-7d16c790b684-33,6446baa6-a5a2-4382-8bd7-ae3bb8e7bbc5,1364133062,com.google.android.gm.ConversationListActivityGmail,com.google.android.gm,4,1,0,com.google.android.gm.ConversationListActivityGmail,com.google.android.gm
78dcdcc5-14b5-4f11-98cb-7d16c790b684-33,6446baa6-a5a2-4382-8bd7-ae3bb8e7bbc5,1364133062,org.bewellapp.dashBoardActivity,org.bewellapp,8,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
78dcdcc5-14b5-4f11-98cb-7d16c790b684-33,6446baa6-a5a2-4382-8bd7-ae3bb8e7bbc5,1364133062,com.android.settings.Settings$SecuritySettingsActivity,com.android.settings,6,1,1,com.android.settings.Settings$SecuritySettingsActivity,com.android.settings
78dcdcc5-14b5-4f11-98cb-7d16c790b684-33,6446baa6-a5a2-4382-8bd7-ae3bb8e7bbc5,1364133062,com.android.settings.Settings,com.android.settings,5,3,3,com.android.settings.deviceinfo.Status,com.android.settings
78dcdcc5-14b5-4f11-98cb-7d16c790b684-33,6446baa6-a5a2-4382-8bd7-ae3bb8e7bbc5,1364133062,com.google.android.setupwizard.SetupWizardActivity,com.google.android.setupwizard,2,1,0,com.google.android.setupwizard.SetupWizardActivity,com.google.android.setupwizard
a6232250-256e-4421-afcc-fe3e88af5b9e-17,6446baa6-a5a2-4382-8bd7-ae3bb8e7bbc5,1364116262,com.android.launcher2.Launcher,com.android.launcher,3,1,1,com.android.launcher2.Launcher,com.android.launcher
a6232250-256e-4421-afcc-fe3e88af5b9e-17,6446baa6-a5a2-4382-8bd7-ae3bb8e7bbc5,1364116262,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,12,1,1,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco
a6232250-256e-4421-afcc-fe3e88af5b9e-17,6446baa6-a5a2-4382-8bd7-ae3bb8e7bbc5,1364116262,com.google.android.gm.ConversationListActivityGmail,com.google.android.gm,4,1,0,com.google.android.gm.ConversationListActivityGmail,com.google.android.gm
a6232250-256e-4421-afcc-fe3e88af5b9e-17,6446baa6-a5a2-4382-8bd7-ae3bb8e7bbc5,1364116262,org.bewellapp.dashBoardActivity,org.bewellapp,8,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
a6232250-256e-4421-afcc-fe3e88af5b9e-17,6446baa6-a5a2-4382-8bd7-ae3bb8e7bbc5,1364116262,com.android.settings.Settings$SecuritySettingsActivity,com.android.settings,6,1,1,com.android.settings.Settings$SecuritySettingsActivity,com.android.settings
a6232250-256e-4421-afcc-fe3e88af5b9e-17,6446baa6-a5a2-4382-8bd7-ae3bb8e7bbc5,1364116262,com.android.settings.Settings,com.android.settings,5,3,3,com.android.settings.deviceinfo.Status,com.android.settings
a6232250-256e-4421-afcc-fe3e88af5b9e-17,6446baa6-a5a2-4382-8bd7-ae3bb8e7bbc5,1364116262,com.google.android.setupwizard.SetupWizardActivity,com.google.android.setupwizard,2,1,0,com.google.android.setupwizard.SetupWizardActivity,com.google.android.setupwizard
a6232250-256e-4421-afcc-fe3e88af5b9e-68,6446baa6-a5a2-4382-8bd7-ae3bb8e7bbc5,1364117462,com.android.launcher2.Launcher,com.android.launcher,3,1,1,com.android.launcher2.Launcher,com.android.launcher
a6232250-256e-4421-afcc-fe3e88af5b9e-68,6446baa6-a5a2-4382-8bd7-ae3bb8e7bbc5,1364117462,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,12,1,1,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco
a6232250-256e-4421-afcc-fe3e88af5b9e-68,6446baa6-a5a2-4382-8bd7-ae3bb8e7bbc5,1364117462,com.google.android.gm.ConversationListActivityGmail,com.google.android.gm,4,1,0,com.google.android.gm.ConversationListActivityGmail,com.google.android.gm
a6232250-256e-4421-afcc-fe3e88af5b9e-68,6446baa6-a5a2-4382-8bd7-ae3bb8e7bbc5,1364117462,org.bewellapp.dashBoardActivity,org.bewellapp,8,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
a6232250-256e-4421-afcc-fe3e88af5b9e-68,6446baa6-a5a2-4382-8bd7-ae3bb8e7bbc5,1364117462,com.android.settings.Settings$SecuritySettingsActivity,com.android.settings,6,1,1,com.android.settings.Settings$SecuritySettingsActivity,com.android.settings
a6232250-256e-4421-afcc-fe3e88af5b9e-68,6446baa6-a5a2-4382-8bd7-ae3bb8e7bbc5,1364117462,com.android.settings.Settings,com.android.settings,5,3,3,com.android.settings.deviceinfo.Status,com.android.settings
a6232250-256e-4421-afcc-fe3e88af5b9e-68,6446baa6-a5a2-4382-8bd7-ae3bb8e7bbc5,1364117462,com.google.android.setupwizard.SetupWizardActivity,com.google.android.setupwizard,2,1,0,com.google.android.setupwizard.SetupWizardActivity,com.google.android.setupwizard
e6a95e95-202b-4921-900d-0a8cfdb7e6d1-33,6446baa6-a5a2-4382-8bd7-ae3bb8e7bbc5,1364125862,com.android.launcher2.Launcher,com.android.launcher,3,1,1,com.android.launcher2.Launcher,com.android.launcher
e6a95e95-202b-4921-900d-0a8cfdb7e6d1-33,6446baa6-a5a2-4382-8bd7-ae3bb8e7bbc5,1364125862,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,12,1,1,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco
e6a95e95-202b-4921-900d-0a8cfdb7e6d1-33,6446baa6-a5a2-4382-8bd7-ae3bb8e7bbc5,1364125862,com.google.android.gm.ConversationListActivityGmail,com.google.android.gm,4,1,0,com.google.android.gm.ConversationListActivityGmail,com.google.android.gm
e6a95e95-202b-4921-900d-0a8cfdb7e6d1-33,6446baa6-a5a2-4382-8bd7-ae3bb8e7bbc5,1364125862,org.bewellapp.dashBoardActivity,org.bewellapp,8,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
e6a95e95-202b-4921-900d-0a8cfdb7e6d1-33,6446baa6-a5a2-4382-8bd7-ae3bb8e7bbc5,1364125862,com.android.settings.Settings$SecuritySettingsActivity,com.android.settings,6,1,1,com.android.settings.Settings$SecuritySettingsActivity,com.android.settings
e6a95e95-202b-4921-900d-0a8cfdb7e6d1-33,6446baa6-a5a2-4382-8bd7-ae3bb8e7bbc5,1364125862,com.android.settings.Settings,com.android.settings,5,3,3,com.android.settings.deviceinfo.Status,com.android.settings
e6a95e95-202b-4921-900d-0a8cfdb7e6d1-33,6446baa6-a5a2-4382-8bd7-ae3bb8e7bbc5,1364125862,com.google.android.setupwizard.SetupWizardActivity,com.google.android.setupwizard,2,1,0,com.google.android.setupwizard.SetupWizardActivity,com.google.android.setupwizard
35154781-0803-401b-883f-33d90fb7ac5f-18,6446baa6-a5a2-4382-8bd7-ae3bb8e7bbc5,1364101862,org.bewellapp.dashBoardActivity,org.bewellapp,8,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
35154781-0803-401b-883f-33d90fb7ac5f-18,6446baa6-a5a2-4382-8bd7-ae3bb8e7bbc5,1364101862,com.google.android.gm.ConversationListActivityGmail,com.google.android.gm,4,2,2,com.android.packageinstaller.InstallAppProgress,com.android.packageinstaller
35154781-0803-401b-883f-33d90fb7ac5f-18,6446baa6-a5a2-4382-8bd7-ae3bb8e7bbc5,1364101862,com.android.launcher2.Launcher,com.android.launcher,3,1,1,com.android.launcher2.Launcher,com.android.launcher
35154781-0803-401b-883f-33d90fb7ac5f-18,6446baa6-a5a2-4382-8bd7-ae3bb8e7bbc5,1364101862,com.android.settings.Settings$SecuritySettingsActivity,com.android.settings,6,1,1,com.android.settings.Settings$SecuritySettingsActivity,com.android.settings
35154781-0803-401b-883f-33d90fb7ac5f-18,6446baa6-a5a2-4382-8bd7-ae3bb8e7bbc5,1364101862,com.android.settings.Settings,com.android.settings,5,3,3,com.android.settings.deviceinfo.Status,com.android.settings
35154781-0803-401b-883f-33d90fb7ac5f-18,6446baa6-a5a2-4382-8bd7-ae3bb8e7bbc5,1364101862,com.google.android.setupwizard.SetupWizardActivity,com.google.android.setupwizard,2,1,0,com.google.android.setupwizard.SetupWizardActivity,com.google.android.setupwizard
35154781-0803-401b-883f-33d90fb7ac5f-75,6446baa6-a5a2-4382-8bd7-ae3bb8e7bbc5,1364103062,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,9,2,2,com.google.android.apps.paco.FindExperimentsActivity,com.google.android.apps.paco
35154781-0803-401b-883f-33d90fb7ac5f-75,6446baa6-a5a2-4382-8bd7-ae3bb8e7bbc5,1364103062,com.google.android.gm.ConversationListActivityGmail,com.google.android.gm,4,1,1,com.google.android.gm.ConversationListActivityGmail,com.google.android.gm
